id,label,date,enddate
watson,watson,1981,1985
tambay,tambay,1981,1985
surer,surer,1981,1985
serra,serra,1981,1985
rosberg,rosberg,1981,2016
reutemann,reutemann,1981,1985
piquet,piquet,1981,2009
laffite,laffite,1981,1990
jones,jones,1981,1990
jabouille,jabouille,1981,1984
giacomelli,giacomelli,1981,1985
gabbiani,gabbiani,1981,1985
cheever,cheever,1981,1989
arnoux,arnoux,1981,1989
andretti,andretti,1981,1993
jarier,jarier,1981,1985
mansell,mansell,1981,2000
de angelis,de angelis,1981,1989
rebaque,rebaque,1981,1985
prost,prost,1981,1993
villeneuve,villeneuve,1981,2006
stohr,stohr,1981,1985
zunino,zunino,1981,1990
patrese,patrese,1981,1993
salazar,salazar,1981,1985
borgudd,borgudd,1981,1985
guerra,guerra,1981,1984
pironi,pironi,1981,1985
alboreto,alboreto,1981,1994
daly,daly,1981,1985
fittipaldi,fittipaldi,1991,2020
schumacher,schumacher,1991,2012
brundle,brundle,1986,1999
lehto,lehto,1991,1994
warwick,warwick,1986,1993
comas,comas,1991,1994
hill,hill,1991,1999
wendlinger,wendlinger,1991,2000
suzuki,suzuki,1990,1995
zanardi,zanardi,1991,1999
alesi,alesi,1990,2001
decesaris,decesaris,1991,1993
badoer,badoer,1991,2008
alliot,alliot,1986,1994
blundell,blundell,1991,1995
senna,senna,1986,2012
scumacher,scumacher,1991,1993
boutsen,boutsen,1990,1993
barbazza,barbazza,1991,1993
herbert,herbert,1991,2000
barrichello,barrichello,1991,2011
katayama,katayama,1991,1997
berger,berger,1986,1999
martini,martini,1991,1999
lamy,lamy,1991,2000
tsuzuki,tsuzuki,1991,1993
hakkinen,hakkinen,1991,2001
irvine,irvine,1991,2001
coulthard,coulthard,1994,2004
bernard,bernard,1990,1994
salo,salo,1994,2000
wend linger,wend linger,1994,1994
adams,adams,1994,1994
verstappen,verstappen,1994,2020
morbidelli,morbidelli,1994,1999
panis,panis,1994,2003
beretta,beretta,1994,1994
frentzen,frentzen,1994,2001
gounon,gounon,1991,1994
de cesaris,de cesaris,1986,1994
brabham,brabham,1994,1994
gachot,gachot,1994,1999
schiatarella,schiatarella,1995,1995
inoue,inoue,1995,2000
moreno,moreno,1990,1995
diniz,diniz,1995,2000
montermini,montermini,1995,1996
boullion,boullion,1995,1995
papis,papis,1995,1995
deletraz,deletraz,1995,2000
tarquini,tarquini,1995,1995
magnussen,magnussen,1995,2020
hamilton,hamilton,2002,2020
trulli,trulli,1997,2011
alonso,alonso,1999,2018
glock,glock,2008,2012
buemi,buemi,2010,2011
sutil,sutil,2007,2014
heidfeld,heidfeld,2000,2011
kubica,kubica,2005,2019
nakajima,nakajima,2007,2009
raikkonen,raikkonen,2001,2020
kovalainen,kovalainen,2007,2013
alguersuari,alguersuari,1998,2011
button,button,2000,2016
fisichella,fisichella,1996,2009
liuzzi,liuzzi,1998,2011
kobayashi,kobayashi,2008,2014
vettel,vettel,2007,2020
webber,webber,2002,2013
massa,massa,2002,2017
sato,sato,2002,2009
coulard,coulard,2001,2009
bourdais,bourdais,2008,2009
de la rosa,de la rosa,1999,2012
hulkenberg,hulkenberg,2010,2020
di grassi,di grassi,2010,2010
petrov,petrov,2010,2012
chandhok,chandhok,2010,2011
maldonado,maldonado,2011,2015
perez,perez,2011,2020
d'ambrosio,d'ambrosio,2011,2012
karikeyan,karikeyan,2011,2011
ricciardo,ricciardo,2011,2020
di resta,di resta,2011,2017
vergne,vergne,2012,2014
grosjean,grosjean,1998,2020
maldolanado,maldolanado,2012,2012
pic,pic,2012,2013
karthikeyan,karthikeyan,2012,2012
gutierrez,gutierrez,2013,2016
bianchi,bianchi,2013,2014
van der garde,van der garde,2013,2013
bottas,bottas,2013,2020
chilton,chilton,2013,2014
maldonaldo,maldonaldo,2014,2014
kvyat,kvyat,2014,2020
ericsson,ericsson,2014,2018
nasr,nasr,2015,2016
sainz,sainz,2015,2020
stevens,stevens,2014,2015
merhi,merhi,2015,2015
rossi,rossi,2015,2015
palmer,palmer,1986,2017
haryanto,haryanto,2016,2016
wehrlein,wehrlein,2016,2017
vandoorne,vandoorne,2016,2018
ocon,ocon,2016,2020
stroll,stroll,2017,2020
gasly,gasly,2017,2020
hartley,hartley,2017,2018
sirotkin,sirotkin,2018,2018
leclerc,leclerc,2018,2020
russell,russell,2019,2020
norris,norris,2019,2020
albon,albon,2019,2020
giovinazzi,giovinazzi,2019,2020
latifi,latifi,2020,2020
aitken,aitken,2020,2020
klien,klien,2002,2010
yamamoto,yamamoto,2010,2010
davidson,davidson,2002,2009
baddoer,baddoer,1991,1993
outsen,outsen,1991,1993
dalmas,dalmas,1994,1994
ratzenberger,ratzenberger,1994,1994
lagorce,lagorce,1994,1994
noka,noka,1994,1994
lavaggi,lavaggi,1995,1997